GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
dpp1hx,39.5892333984,-79.9475097656,39.5892333984,-79.9584960938,39.5947265625,-79.9475097656,39.5947265625,-79.9584960938,2
dny99n,38.2653808594,-80.8044433594,38.2653808594,-80.8154296875,38.2708740234,-80.8044433594,38.2708740234,-80.8154296875,2
dnyb4c,37.9742431641,-80.3759765625,37.9742431641,-80.3869628906,37.9797363281,-80.3759765625,37.9797363281,-80.3869628906,2
dnwpyf,37.9357910156,-81.2548828125,37.9357910156,-81.2658691406,37.9412841797,-81.2548828125,37.9412841797,-81.2658691406,2
dnyxkn,39.2761230469,-80.6726074219,39.2761230469,-80.68359375,39.2816162109,-80.6726074219,39.2816162109,-80.68359375,1
dnyy3n,39.1003417969,-80.4528808594,39.1003417969,-80.4638671875,39.1058349609,-80.4528808594,39.1058349609,-80.4638671875,1
dnyzkn,39.2761230469,-80.3210449219,39.2761230469,-80.33203125,39.2816162109,-80.3210449219,39.2816162109,-80.33203125,1
dnyzm0,39.2431640625,-80.2770996094,39.2431640625,-80.2880859375,39.2486572266,-80.2770996094,39.2486572266,-80.2880859375,1
dnyy0f,39.0344238281,-80.4638671875,39.0344238281,-80.4748535156,39.0399169922,-80.4638671875,39.0399169922,-80.4748535156,1
dnywnt,39.0509033203,-80.5627441406,39.0509033203,-80.5737304688,39.0563964844,-80.5627441406,39.0563964844,-80.5737304688,1
dnyy6h,39.0893554688,-80.4089355469,39.0893554688,-80.419921875,39.0948486328,-80.4089355469,39.0948486328,-80.419921875,1
dnyzxd,39.2980957031,-80.1672363281,39.2980957031,-80.1782226562,39.3035888672,-80.1672363281,39.3035888672,-80.1782226562,1
dnyzy8,39.3310546875,-80.2111816406,39.3310546875,-80.2221679688,39.3365478516,-80.2111816406,39.3365478516,-80.2221679688,1
dnywb6,39.1662597656,-80.8374023438,39.1662597656,-80.8483886719,39.1717529297,-80.8374023438,39.1717529297,-80.8483886719,1
dnyvy7,38.9959716797,-80.2221679688,38.9959716797,-80.2331542969,39.0014648438,-80.2221679688,39.0014648438,-80.2331542969,1
dnyzu1,39.3365478516,-80.3210449219,39.3365478516,-80.33203125,39.3420410156,-80.3210449219,39.3420410156,-80.33203125,1
dnyzf7,39.3475341797,-80.3979492188,39.3475341797,-80.4089355469,39.3530273438,-80.3979492188,39.3530273438,-80.4089355469,1
dnyzhz,39.2376708984,-80.2880859375,39.2376708984,-80.2990722656,39.2431640625,-80.2880859375,39.2431640625,-80.2990722656,1
dnyxxk,39.3090820312,-80.5297851562,39.3090820312,-80.5407714844,39.3145751953,-80.5297851562,39.3145751953,-80.5407714844,1
dnyyy6,39.1662597656,-80.2221679688,39.1662597656,-80.2331542969,39.1717529297,-80.2221679688,39.1717529297,-80.2331542969,1
dnyy6x,39.1058349609,-80.3869628906,39.1058349609,-80.3979492188,39.111328125,-80.3869628906,39.111328125,-80.3979492188,1
dnyy7v,39.0948486328,-80.33203125,39.0948486328,-80.3430175781,39.1003417969,-80.33203125,39.1003417969,-80.3430175781,1
dnyz4w,39.2321777344,-80.3869628906,39.2321777344,-80.3979492188,39.2376708984,-80.3869628906,39.2376708984,-80.3979492188,1
dnyz3z,39.2816162109,-80.419921875,39.2816162109,-80.4309082031,39.287109375,-80.419921875,39.287109375,-80.4309082031,1
dnyy2r,39.1058349609,-80.4858398438,39.1058349609,-80.4968261719,39.111328125,-80.4858398438,39.111328125,-80.4968261719,1
dnyydu,39.1333007812,-80.3759765625,39.1333007812,-80.3869628906,39.1387939453,-80.3759765625,39.1387939453,-80.3869628906,1
dnyy1x,39.0618896484,-80.4309082031,39.0618896484,-80.4418945312,39.0673828125,-80.4309082031,39.0673828125,-80.4418945312,1
dnyytd,39.1223144531,-80.2551269531,39.1223144531,-80.2661132812,39.1278076172,-80.2551269531,39.1278076172,-80.2661132812,1
dnyz2w,39.2761230469,-80.4748535156,39.2761230469,-80.4858398438,39.2816162109,-80.4748535156,39.2816162109,-80.4858398438,1
dntgxx,37.2161865234,-81.5734863281,37.2161865234,-81.5844726562,37.2216796875,-81.5734863281,37.2216796875,-81.5844726562,1
dnzj2v,38.9190673828,-80.1123046875,38.9190673828,-80.1232910156,38.9245605469,-80.1123046875,38.9245605469,-80.1232910156,1
dnz13q,38.2214355469,-80.0903320312,38.2214355469,-80.1013183594,38.2269287109,-80.0903320312,38.2269287109,-80.1013183594,1
dnzn7x,39.1058349609,-79.9914550781,39.1058349609,-80.0024414062,39.111328125,-79.9914550781,39.111328125,-80.0024414062,1
dnzndq,39.1442871094,-80.0463867188,39.1442871094,-80.0573730469,39.1497802734,-80.0463867188,39.1497802734,-80.0573730469,1
dnznfp,39.1937255859,-80.0573730469,39.1937255859,-80.068359375,39.19921875,-80.0573730469,39.19921875,-80.068359375,1
dnznhd,39.0344238281,-79.9475097656,39.0344238281,-79.9584960938,39.0399169922,-79.9475097656,39.0399169922,-79.9584960938,1
dnznm2,39.0673828125,-79.9145507812,39.0673828125,-79.9255371094,39.0728759766,-79.9145507812,39.0728759766,-79.9255371094,1
dnznpy,39.0563964844,-79.8046875,39.0563964844,-79.8156738281,39.0618896484,-79.8046875,39.0618896484,-79.8156738281,1
dnznv3,39.1607666016,-79.9145507812,39.1607666016,-79.9255371094,39.1662597656,-79.9145507812,39.1662597656,-79.9255371094,1
dnzp6s,39.2651367188,-80.0354003906,39.2651367188,-80.0463867188,39.2706298828,-80.0354003906,39.2706298828,-80.0463867188,1
dnzpcb,39.3310546875,-80.068359375,39.3310546875,-80.0793457031,39.3365478516,-80.068359375,39.3365478516,-80.0793457031,1
