LAT,LONG,CRTSRoadsI,Bridgesect,SECTnum,DATE_CC_OR,COUNTY,COUNTYNUM,signsystem,routenum,BEGINMP,subroute,supplement,FROMtermin,ENDMP,TOtermini,LENGTH,ROUTEID,LOC_ERROR,LabelRt,LabelSRt,Search,Shape_len
37.39142558687625,-81.84843586166835,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39142804312526,-81.8484315282369,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39142711180848,-81.84839924317066,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39142316915551,-81.84836343064777,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39141997870648,-81.84831539928761,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39141927220702,-81.84826721083517,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39142030668133,-81.84823108423174,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.391422881666,-81.84819507909685,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39142838334911,-81.84814737703755,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39143633623377,-81.84810022314524,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39144382293264,-81.84806530288074,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39145251009483,-81.84802643989417,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39146063559338,-81.84798738548415,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39146822703258,-81.84794815153043,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39147525664191,-81.84790874928892,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39148173348438,-81.84786920199844,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
37.39148764816484,-81.8478295326899,242,MCDOWELL63,63,2003/12/31,MCDOWELL,24,4,0005,3.22,01,00,JCT CR 5/8,11.4,JCT WV 80,8.18,24400050100,NO ERROR,5,1,5/1,12922.3
