GEOHASH,LAT1,LONG1,LAT2,LONG2,LAT3,LONG3,LAT4,LONG4,COUNT
9vr,29.53125,-90.0,29.53125,-91.40625,30.9375,-90.0,30.9375,-91.40625,2
dqc,37.96875,-75.9375,37.96875,-77.34375,39.375,-75.9375,39.375,-77.34375,1
dr7,40.78125,-73.125,40.78125,-74.53125,42.1875,-73.125,42.1875,-74.53125,1
dr4,39.375,-74.53125,39.375,-75.9375,40.78125,-74.53125,40.78125,-75.9375,1
drt,42.1875,-70.3125,42.1875,-71.71875,43.59375,-70.3125,43.59375,-71.71875,1
dqd,36.5625,-74.53125,36.5625,-75.9375,37.96875,-74.53125,37.96875,-75.9375,1
drk,40.78125,-71.71875,40.78125,-73.125,42.1875,-71.71875,42.1875,-73.125,1
de4,16.875,-63.28125,16.875,-64.6875,18.28125,-63.28125,18.28125,-64.6875,1
dq3,35.15625,-75.9375,35.15625,-77.34375,36.5625,-75.9375,36.5625,-77.34375,1
dnr,35.15625,-78.75,35.15625,-80.15625,36.5625,-78.75,36.5625,-80.15625,1
djt,30.9375,-81.5625,30.9375,-82.96875,32.34375,-81.5625,32.34375,-82.96875,1
djd,30.9375,-85.78125,30.9375,-87.1875,32.34375,-85.78125,32.34375,-87.1875,1
c0r,46.40625,-123.75,46.40625,-125.15625,47.8125,-123.75,47.8125,-125.15625,1
9zp,39.375,-90.0,39.375,-91.40625,40.78125,-90.0,40.78125,-91.40625,1
9vq,29.53125,-91.40625,29.53125,-92.8125,30.9375,-91.40625,30.9375,-92.8125,1
9vp,28.125,-90.0,28.125,-91.40625,29.53125,-90.0,29.53125,-91.40625,1
9vm,29.53125,-92.8125,29.53125,-94.21875,30.9375,-92.8125,30.9375,-94.21875,1
9v8,30.9375,-99.84375,30.9375,-101.25,32.34375,-99.84375,32.34375,-101.25,1
9rf,43.59375,-119.53125,43.59375,-120.9375,45.0,-119.53125,45.0,-120.9375,1
9qc,37.96875,-120.9375,37.96875,-122.34375,39.375,-120.9375,39.375,-122.34375,1
9nz,37.96875,-123.75,37.96875,-125.15625,39.375,-123.75,39.375,-125.15625,1
dxb,43.59375,-66.09375,43.59375,-67.5,45.0,-66.09375,45.0,-67.5,1
